,Region,Country,Rep,Location,StationID
332,Asia,China,CHN,Yunnan Simao,569640
333,Asia,China,CHN,Yunnan Tengchong,567390
334,Asia,China,CHN,Yunnan Yuanjiang,569660
335,Asia,China,CHN,Zhejiang Dinghai,584770
336,Asia,China,CHN,Zhejiang Hangzhou,584570
337,Asia,China,CHN,Zhejiang Hongjia,586650
338,Asia,China,CHN,Zhejiang Quxian,586330
339,Asia,China,CHN,Zhejiang Wenzhou,586590
340,Asia,India,IND,Ahmedabad,426470
341,Asia,India,IND,Akola,429340
342,Asia,India,IND,Allahabad,424750
343,Asia,India,IND,Amritsar,420710
344,Asia,India,IND,Aurangabad,430140
345,Asia,India,IND,Bangalore,432950
346,Asia,India,IND,Barmer,424350
347,Asia,India,IND,Belgaum,431980
348,Asia,India,IND,Bhagalpur,424980
349,Asia,India,IND,Bhopal,426670
350,Asia,India,IND,Bhubneshwar,429710
351,Asia,India,IND,Bikaner,421650
352,Asia,India,IND,Calcutta,428090
353,Asia,India,IND,Chennai-Madras,432790
354,Asia,India,IND,Chirtadurg,432330
355,Asia,India,IND,Dehradun,421110
356,Asia,India,IND,Dibrugarh,423140
357,Asia,India,IND,Goa Panjim,431920
358,Asia,India,IND,Gorakhpur,423790
359,Asia,India,IND,Guwahati,424100
360,Asia,India,IND,Gwalior,423610
361,Asia,India,IND,Hissar,421310
362,Asia,India,IND,Hyderabad,431280
363,Asia,India,IND,Imphal,426230
364,Asia,India,IND,Indore,427540
365,Asia,India,IND,Jabalpur,426750
366,Asia,India,IND,Jagdelpur,430410
367,Asia,India,IND,Jaipur,423480
368,Asia,India,IND,Jaisalmer,423280
369,Asia,India,IND,Jamnagar,427340
370,Asia,India,IND,Jodhpur,423390
371,Asia,India,IND,Jorhat,424230
372,Asia,India,IND,Kota,424520
373,Asia,India,IND,Kurnool,432130
374,Asia,India,IND,Lucknow,423690
375,Asia,India,IND,Mangalore,432840
376,Asia,India,IND,Mumbai,430030
377,Asia,India,IND,Nagpur,428670
378,Asia,India,IND,Nellore,432450
379,Asia,India,IND,New Delhi,421820
380,Asia,India,IND,Patna,424920
381,Asia,India,IND,Pune,430630
382,Asia,India,IND,Raipur,428750
383,Asia,India,IND,Rajkot,427370
384,Asia,India,IND,Ramagundam,430860
385,Asia,India,IND,Ranchi,427010
386,Asia,India,IND,Ratnagiri,431100
387,Asia,India,IND,Raxaul,423820
388,Asia,India,IND,Saharanpur,5217
389,Asia,India,IND,Shillong,425160
390,Asia,India,IND,Sholapur,431170
391,Asia,India,IND,Sundernagar,8204
392,Asia,India,IND,Surat,428400
393,Asia,India,IND,Tezpur,424150
394,Asia,India,IND,Tiruchirapalli,433440
395,Asia,India,IND,Trivandram,433710
396,Asia,India,IND,Veraval,429090
397,Asia,India,IND,Vishakhapatnam,431500
398,Asia,Islamic Republic of Iran,IRN,Bandar Abass,408750
399,Asia,Islamic Republic of Iran,IRN,Esfahan,408000
400,Asia,Islamic Republic of Iran,IRN,Shiraz,408480
401,Asia,Islamic Republic of Iran,IRN,Tabriz,407060
402,Asia,Islamic Republic of Iran,IRN,Tehran-Mehrabad,407540
403,Asia,Islamic Republic of Iran,IRN,Yazd,408210
404,Asia,Japan,JPN,Kagoshima,478270
405,Asia,Japan,JPN,Matsumoto,476180
406,Asia,Japan,JPN,Miho Civ JASDF,477430
407,Asia,Japan,JPN,Nagoya,476350
408,Asia,Japan,JPN,Osaka,477710
409,Asia,Japan,JPN,Sapporo,474120
410,Asia,Japan,JPN,Shimonoseki,477620
411,Asia,Japan,JPN,Tokyo Hyakuri,477150
412,Asia,Japan,JPN,Tosashimizu,478980
413,Asia,Kazakhstan,KAZ,Semipalatinsk,361770
414,Asia,Korea,KOR,Inchon,471120
415,Asia,Korea,KOR,Kangnung,471050
416,Asia,Korea,KOR,Kwangju,471560
417,Asia,Korea,KOR,Ulsan,471520
418,Asia,Kuwait,KWT,KISR Coastal Station,405850
419,Asia,Kuwait,KWT,Kuwait Intl AP,405820
420,Asia,Sri Lanka,LKA,Anuradhapura,434210
421,Asia,Sri Lanka,LKA,Batticaloa,434360
422,Asia,Sri Lanka,LKA,Colombo-Katunayake,434500
423,Asia,Sri Lanka,LKA,Colombo-Ratmalana,434670
424,Asia,Sri Lanka,LKA,Hambantota,434970
425,Asia,Sri Lanka,LKA,Kankasanturai,434000
426,Asia,Sri Lanka,LKA,Nuwara Eliya,434730
427,Asia,Sri Lanka,LKA,Puttalam,434240
428,Asia,Sri Lanka,LKA,Trincomalee,434180
429,Asia,Macau,MAC,Macau,450110
430,Asia,Maldives,MDV,Gan Island,435990
431,Asia,Maldives,MDV,Male-Hulule Island,435550
432,Asia,Mongolia,MNG,Ulaanbataar,442920
433,Asia,Mongolia,MNG,Ulaangom,442120
434,Asia,Nepal,NPL,Kathmandu,444540
435,Asia,Nepal,NPL,Surkhet,444160
436,Asia,Pakistan,PAK,Karachi,417800
437,Asia,Korea,PRK,Chongjin,470080
438,Asia,Korea,PRK,Haeju,470690
439,Asia,Korea,PRK,Pyongyang,470580
